date,attr,value,a,b,c,d
20140101,TMAX,6,,,W,2400
20140101,TMIN,-43,,,W,2400
20140101,PRCP,0,,,W,2400
20140101,SNOW,0,,,W,
20140101,SNWD,0,,,W,
20140101,AWND,25,,,W,
20140101,WDF2,280,,,W,
20140101,WDF5,300,,,W,
20140101,WSF2,63,,,W,
20140101,WSF5,103,,,W,
20140102,TMAX,6,,,W,2400
20140102,TMIN,-77,,,W,2400
20140102,PRCP,84,,,W,2400
20140102,SNOW,79,,,W,
20140102,SNWD,0,,,W,
20140102,AWND,55,,,W,
20140102,WDF2,50,,,W,
20140102,WDF5,50,,,W,
20140102,WSF2,94,,,W,
20140102,WSF5,125,,,W,
20140103,TMAX,-77,,,W,2400
20140103,TMIN,-127,,,W,2400
20140103,PRCP,74,,,W,2400
20140103,SNOW,84,,,W,
20140103,SNWD,150,,,W,
20140103,AWND,47,,,W,
20140103,WDF2,360,,,W,
20140103,WDF5,310,,,W,
20140103,WSF2,94,,,W,
20140103,WSF5,130,,,W,
20140103,WT01,1,,,W,
20140104,TMAX,-16,,,W,2400
20140104,TMIN,-132,,,W,2400
20140104,PRCP,0,,,W,2400
20140104,SNOW,0,,,W,
20140104,SNWD,150,,,W,
20140104,AWND,22,,,W,
20140104,WDF2,260,,,W,
20140104,WDF5,240,,,W,
20140104,WSF2,40,,,W,
20140104,WSF5,89,,,W,
20140105,TMAX,44,,,W,2400
20140105,TMIN,-27,,,W,2400
20140105,PRCP,36,,,W,2400
20140105,SNOW,0,T,,W,
20140105,SNWD,100,,,W,
20140105,AWND,17,,,W,
20140105,WDF2,70,,,W,
20140105,WDF5,240,,,W,
20140105,WSF2,31,,,W,
20140105,WSF5,76,,,W,
20140106,TMAX,128,,,W,2400
20140106,TMIN,-71,,,W,2400
20140106,PRCP,91,,,W,2400
20140106,SNOW,0,,,W,
20140106,SNWD,30,,,W,
20140106,AWND,38,,,W,
20140106,WDF2,290,,,W,
20140106,WDF5,300,,,W,
20140106,WSF2,81,,,W,
20140106,WSF5,130,,,W,
20140107,TMAX,-71,,,W,2400
20140107,TMIN,-155,,,W,2400
20140107,PRCP,0,,,W,2400
20140107,SNOW,0,,,W,
20140107,SNWD,0,,,W,
20140107,AWND,59,,,W,
20140107,WDF2,280,,,W,
20140107,WDF5,270,,,W,
20140107,WSF2,103,,,W,
20140107,WSF5,170,,,W,
20140108,TMAX,-55,,,W,2400
20140108,TMIN,-127,,,W,2400
20140108,PRCP,0,,,W,2400
20140108,SNOW,0,,,W,
20140108,SNWD,0,,,W,
20140108,AWND,32,,,W,
20140108,WDF2,290,,,W,
20140108,WDF5,290,,,W,
20140108,WSF2,67,,,W,
20140108,WSF5,103,,,W,
20140109,TMAX,0,,,W,2400
20140109,TMIN,-55,,,W,2400
20140109,PRCP,0,,,W,2400
20140109,SNOW,0,,,W,
20140109,SNWD,0,,,W,
20140109,AWND,13,,,W,
20140109,WDF2,350,,,W,
20140109,WDF5,320,,,W,
20140109,WSF2,54,,,W,
20140109,WSF5,72,,,W,
20140110,TMAX,28,,,W,2400
20140110,TMIN,-10,,,W,2400
20140110,PRCP,28,,,W,2400
20140110,SNOW,0,T,,W,
20140110,SNWD,0,,,W,
20140110,AWND,15,,,W,
20140110,WDF2,50,,,W,
20140110,WDF5,160,,,W,
20140110,WSF2,36,,,W,
20140110,WSF5,49,,,W,
20140111,TMAX,144,,,W,2400
20140111,TMIN,28,,,W,2400
20140111,PRCP,127,,,W,2400
20140111,SNOW,0,,,W,
20140111,SNWD,0,,,W,
20140111,AWND,32,,,W,
20140111,WDF2,180,,,W,
20140111,WDF5,170,,,W,
20140111,WSF2,76,,,W,
20140111,WSF5,125,,,W,
20140111,WT01,1,,,W,
20140112,TMAX,122,,,W,2400
20140112,TMIN,33,,,W,2400
20140112,PRCP,13,,,W,2400
20140112,SNOW,0,,,W,
20140112,SNWD,0,,,W,
20140112,AWND,37,,,W,
20140112,WDF2,290,,,W,
20140112,WDF5,290,,,W,
20140112,WSF2,89,,,W,
20140112,WSF5,139,,,W,
20140112,WT01,1,,,W,
20140113,TMAX,106,,,W,2400
20140113,TMIN,28,,,W,2400
20140113,PRCP,0,,,W,2400
20140113,SNOW,0,,,W,
20140113,SNWD,0,,,W,
20140113,AWND,23,,,W,
20140113,WDF2,180,,,W,
20140113,WDF5,170,,,W,
20140113,WSF2,63,,,W,
20140113,WSF5,107,,,W,
20140114,TMAX,111,,,W,2400
20140114,TMIN,67,,,W,2400
20140114,PRCP,97,,,W,2400
20140114,SNOW,0,,,W,
20140114,SNWD,0,,,W,
20140114,AWND,22,,,W,
20140114,WDF2,230,,,W,
20140114,WDF5,250,,,W,
20140114,WSF2,58,,,W,
20140114,WSF5,98,,,W,
20140114,WT01,1,,,W,
20140115,TMAX,83,,,W,2400
20140115,TMIN,39,,,W,2400
20140115,PRCP,0,,,W,2400
20140115,SNOW,0,,,W,
